spec,date,count,date_count,freq,year,month
backend,2019-05-01,111,514,21.6%,2019,05
data science,2019-05-01,1,514,0.19%,2019,05
devops,2019-05-01,14,514,2.72%,2019,05
frontend,2019-05-01,95,514,18.48%,2019,05
game developer,2019-05-01,5,514,0.97%,2019,05
mobile,2019-05-01,17,514,3.31%,2019,05
administrator,2019-06-01,303,535,56.64%,2019,06
backend,2019-06-01,104,535,19.44%,2019,06
devops,2019-06-01,20,535,3.74%,2019,06
frontend,2019-06-01,86,535,16.07%,2019,06
game developer,2019-06-01,2,535,0.37%,2019,06
mobile,2019-06-01,20,535,3.74%,2019,06
administrator,2019-07-01,378,613,61.66%,2019,07
backend,2019-07-01,115,613,18.76%,2019,07
devops,2019-07-01,13,613,2.12%,2019,07
frontend,2019-07-01,73,613,11.91%,2019,07
game developer,2019-07-01,2,613,0.33%,2019,07
mobile,2019-07-01,32,613,5.22%,2019,07
administrator,2019-08-01,391,673,58.1%,2019,08
backend,2019-08-01,139,673,20.65%,2019,08
devops,2019-08-01,23,673,3.42%,2019,08
frontend,2019-08-01,75,673,11.14%,2019,08
game developer,2019-08-01,1,673,0.15%,2019,08
mobile,2019-08-01,44,673,6.54%,2019,08
administrator,2019-09-01,584,989,59.05%,2019,09
backend,2019-09-01,204,989,20.63%,2019,09
devops,2019-09-01,29,989,2.93%,2019,09
frontend,2019-09-01,112,989,11.32%,2019,09
game developer,2019-09-01,12,989,1.21%,2019,09
mobile,2019-09-01,48,989,4.85%,2019,09
administrator,2019-10-01,285,505,56.44%,2019,10
backend,2019-10-01,110,505,21.78%,2019,10
data science,2019-10-01,3,505,0.59%,2019,10
devops,2019-10-01,24,505,4.75%,2019,10
frontend,2019-10-01,58,505,11.49%,2019,10
game developer,2019-10-01,7,505,1.39%,2019,10
mobile,2019-10-01,18,505,3.56%,2019,10
administrator,2019-11-01,192,369,52.03%,2019,11
backend,2019-11-01,82,369,22.22%,2019,11
devops,2019-11-01,12,369,3.25%,2019,11
frontend,2019-11-01,56,369,15.18%,2019,11
game developer,2019-11-01,3,369,0.81%,2019,11
mobile,2019-11-01,24,369,6.5%,2019,11
administrator,2019-12-01,267,516,51.74%,2019,12
backend,2019-12-01,126,516,24.42%,2019,12
data science,2019-12-01,4,516,0.78%,2019,12
devops,2019-12-01,23,516,4.46%,2019,12
frontend,2019-12-01,69,516,13.37%,2019,12
game developer,2019-12-01,3,516,0.58%,2019,12
mobile,2019-12-01,24,516,4.65%,2019,12
administrator,2020-01-01,165,290,56.9%,2020,01
backend,2020-01-01,68,290,23.45%,2020,01
data science,2020-01-01,2,290,0.69%,2020,01
devops,2020-01-01,9,290,3.1%,2020,01
frontend,2020-01-01,38,290,13.1%,2020,01
game developer,2020-01-01,2,290,0.69%,2020,01
mobile,2020-01-01,6,290,2.07%,2020,01
administrator,2020-02-01,267,490,54.49%,2020,02
backend,2020-02-01,126,490,25.71%,2020,02
data science,2020-02-01,5,490,1.02%,2020,02
devops,2020-02-01,19,490,3.88%,2020,02
frontend,2020-02-01,53,490,10.82%,2020,02
game developer,2020-02-01,4,490,0.82%,2020,02
mobile,2020-02-01,16,490,3.27%,2020,02
administrator,2020-03-01,275,1433,19.19%,2020,03
backend,2020-03-01,170,1433,11.86%,2020,03
data science,2020-03-01,3,1433,0.21%,2020,03
devops,2020-03-01,24,1433,1.67%,2020,03
frontend,2020-03-01,929,1433,64.83%,2020,03
game developer,2020-03-01,8,1433,0.56%,2020,03
mobile,2020-03-01,24,1433,1.67%,2020,03
administrator,2020-04-01,176,430,40.93%,2020,04
backend,2020-04-01,140,430,32.56%,2020,04
data science,2020-04-01,16,430,3.72%,2020,04
devops,2020-04-01,32,430,7.44%,2020,04
frontend,2020-04-01,50,430,11.63%,2020,04
game developer,2020-04-01,3,430,0.7%,2020,04
mobile,2020-04-01,13,430,3.02%,2020,04
administrator,2020-05-01,167,335,49.85%,2020,05
backend,2020-05-01,68,335,20.3%,2020,05
devops,2020-05-01,22,335,6.57%,2020,05
frontend,2020-05-01,57,335,17.01%,2020,05
game developer,2020-05-01,2,335,0.6%,2020,05
