spec,date,tags,year,month
administrator,2017-10-01,"[{""tech"": ""windows"", ""freq"": ""62.57%""}, {""tech"": ""sql"", ""freq"": ""40.42%""}, {""tech"": ""server"", ""freq"": ""27.24%""}, {""tech"": ""linux"", ""freq"": ""26.01%""}, {""tech"": ""ip"", ""freq"": ""21.44%""}, {""tech"": ""dns"", ""freq"": ""18.1%""}, {""tech"": ""directory"", ""freq"": ""13.36%""}, {""tech"": ""tcp"", ""freq"": ""11.95%""}, {""tech"": ""vpn"", ""freq"": ""7.73%""}, {""tech"": ""unix"", ""freq"": ""6.15%""}]",2017,10
administrator,2017-11-01,"[{""tech"": ""windows"", ""freq"": ""57.32%""}, {""tech"": ""sql"", ""freq"": ""50.84%""}, {""tech"": ""server"", ""freq"": ""34.52%""}, {""tech"": ""linux"", ""freq"": ""22.18%""}, {""tech"": ""ip"", ""freq"": ""20.29%""}, {""tech"": ""dns"", ""freq"": ""14.64%""}, {""tech"": ""tcp"", ""freq"": ""11.09%""}, {""tech"": ""oracle"", ""freq"": ""9.21%""}, {""tech"": ""directory"", ""freq"": ""9.0%""}, {""tech"": ""xml"", ""freq"": ""7.32%""}]",2017,11
administrator,2017-12-01,"[{""tech"": ""sql"", ""freq"": ""52.88%""}, {""tech"": ""windows"", ""freq"": ""52.09%""}, {""tech"": ""server"", ""freq"": ""24.08%""}, {""tech"": ""ip"", ""freq"": ""20.68%""}, {""tech"": ""linux"", ""freq"": ""17.8%""}, {""tech"": ""tcp"", ""freq"": ""14.4%""}, {""tech"": ""dns"", ""freq"": ""13.35%""}, {""tech"": ""xml"", ""freq"": ""8.9%""}, {""tech"": ""oracle"", ""freq"": ""7.85%""}, {""tech"": ""directory"", ""freq"": ""6.28%""}]",2017,12
administrator,2018-01-01,"[{""tech"": ""windows"", ""freq"": ""54.35%""}, {""tech"": ""sql"", ""freq"": ""50.66%""}, {""tech"": ""server"", ""freq"": ""27.44%""}, {""tech"": ""ip"", ""freq"": ""17.68%""}, {""tech"": ""linux"", ""freq"": ""15.04%""}, {""tech"": ""dns"", ""freq"": ""13.46%""}, {""tech"": ""directory"", ""freq"": ""10.29%""}, {""tech"": ""tcp"", ""freq"": ""8.71%""}, {""tech"": ""oracle"", ""freq"": ""7.65%""}, {""tech"": ""xml"", ""freq"": ""7.65%""}]",2018,01
administrator,2018-02-01,"[{""tech"": ""windows"", ""freq"": ""56.78%""}, {""tech"": ""sql"", ""freq"": ""46.04%""}, {""tech"": ""server"", ""freq"": ""24.3%""}, {""tech"": ""linux"", ""freq"": ""23.02%""}, {""tech"": ""ip"", ""freq"": ""19.95%""}, {""tech"": ""dns"", ""freq"": ""17.9%""}, {""tech"": ""tcp"", ""freq"": ""14.07%""}, {""tech"": ""oracle"", ""freq"": ""10.74%""}, {""tech"": ""web"", ""freq"": ""9.97%""}, {""tech"": ""xml"", ""freq"": ""8.18%""}]",2018,02
administrator,2018-03-01,"[{""tech"": ""windows"", ""freq"": ""54.56%""}, {""tech"": ""sql"", ""freq"": ""49.09%""}, {""tech"": ""server"", ""freq"": ""33.67%""}, {""tech"": ""ip"", ""freq"": ""21.91%""}, {""tech"": ""linux"", ""freq"": ""17.65%""}, {""tech"": ""dns"", ""freq"": ""17.24%""}, {""tech"": ""tcp"", ""freq"": ""16.02%""}, {""tech"": ""web"", ""freq"": ""9.94%""}, {""tech"": ""directory"", ""freq"": ""9.53%""}, {""tech"": ""c#"", ""freq"": ""8.92%""}]",2018,03
administrator,2018-04-01,"[{""tech"": ""windows"", ""freq"": ""59.5%""}, {""tech"": ""sql"", ""freq"": ""48.25%""}, {""tech"": ""server"", ""freq"": ""34.75%""}, {""tech"": ""ip"", ""freq"": ""26.75%""}, {""tech"": ""dns"", ""freq"": ""22.75%""}, {""tech"": ""linux"", ""freq"": ""22.0%""}, {""tech"": ""tcp"", ""freq"": ""17.5%""}, {""tech"": ""directory"", ""freq"": ""12.5%""}, {""tech"": ""vpn"", ""freq"": ""7.25%""}, {""tech"": ""unix"", ""freq"": ""6.0%""}]",2018,04
administrator,2018-05-01,"[{""tech"": ""windows"", ""freq"": ""67.24%""}, {""tech"": ""sql"", ""freq"": ""41.11%""}, {""tech"": ""server"", ""freq"": ""33.83%""}, {""tech"": ""ip"", ""freq"": ""20.34%""}, {""tech"": ""dns"", ""freq"": ""19.06%""}, {""tech"": ""linux"", ""freq"": ""16.7%""}, {""tech"": ""tcp"", ""freq"": ""14.13%""}, {""tech"": ""directory"", ""freq"": ""11.35%""}, {""tech"": ""oracle"", ""freq"": ""5.35%""}, {""tech"": ""vpn"", ""freq"": ""4.5%""}]",2018,05
administrator,2018-06-01,"[{""tech"": ""windows"", ""freq"": ""66.04%""}, {""tech"": ""sql"", ""freq"": ""37.94%""}, {""tech"": ""server"", ""freq"": ""30.91%""}, {""tech"": ""linux"", ""freq"": ""28.1%""}, {""tech"": ""ip"", ""freq"": ""19.44%""}, {""tech"": ""dns"", ""freq"": ""15.93%""}, {""tech"": ""tcp"", ""freq"": ""12.88%""}, {""tech"": ""oracle"", ""freq"": ""7.49%""}, {""tech"": ""unix"", ""freq"": ""6.32%""}, {""tech"": ""directory"", ""freq"": ""5.85%""}]",2018,06
administrator,2018-07-01,"[{""tech"": ""windows"", ""freq"": ""68.83%""}, {""tech"": ""sql"", ""freq"": ""37.92%""}, {""tech"": ""server"", ""freq"": ""36.1%""}, {""tech"": ""ip"", ""freq"": ""22.6%""}, {""tech"": ""linux"", ""freq"": ""17.4%""}, {""tech"": ""dns"", ""freq"": ""16.36%""}, {""tech"": ""tcp"", ""freq"": ""14.55%""}, {""tech"": ""directory"", ""freq"": ""8.57%""}, {""tech"": ""vpn"", ""freq"": ""6.75%""}, {""tech"": ""web"", ""freq"": ""5.45%""}]",2018,07
